iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
134,0.095002,0.086398,0.178456,0.308411,0.210116,0.171342,0.249564,0.409493,0.293057,0.198233,0.211303
135,0.095002,0.086398,0.178456,0.308411,0.210116,0.171342,0.249564,0.409493,0.293057,0.198233,0.197374
136,0.095002,0.086398,0.178456,0.308411,0.222039,0.171342,0.249564,0.409493,0.293057,0.198233,0.197374
137,0.095002,0.086398,0.178456,0.308411,0.222039,0.171342,0.265342,0.409493,0.293057,0.198233,0.197374
138,0.084157,0.086398,0.178456,0.308411,0.222039,0.171342,0.265342,0.409493,0.293057,0.198233,0.197374
139,0.084157,0.086398,0.178456,0.308411,0.222039,0.171342,0.313055,0.409493,0.293057,0.198233,0.197374
140,0.084157,0.086398,0.178456,0.308411,0.222039,0.171342,0.320934,0.409493,0.293057,0.198233,0.197374
141,0.084157,0.077758,0.178456,0.308411,0.222039,0.171342,0.320934,0.409493,0.293057,0.198233,0.197374
142,0.084157,0.077758,0.178456,0.308411,0.222039,0.171342,0.320934,0.409493,0.252785,0.198233,0.197374
143,0.084157,0.077758,0.178456,0.308411,0.222039,0.171342,0.317871,0.409493,0.252785,0.198233,0.197374
144,0.084157,0.077758,0.178456,0.308411,0.222039,0.171342,0.317871,0.389019,0.252785,0.198233,0.197374
145,0.084157,0.077758,0.178456,0.308411,0.242311,0.171342,0.317871,0.389019,0.252785,0.198233,0.197374
146,0.084157,0.077758,0.188699,0.308411,0.242311,0.171342,0.317871,0.389019,0.252785,0.198233,0.197374
147,0.084157,0.077758,0.188699,0.282466,0.242311,0.171342,0.317871,0.389019,0.252785,0.198233,0.197374
148,0.084157,0.077758,0.188699,0.282466,0.242311,0.157063,0.317871,0.389019,0.252785,0.198233,0.197374
149,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.317871,0.389019,0.252785,0.198233,0.197374
150,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.317871,0.389019,0.252785,0.217278,0.197374
